現地コード,銘柄名(English),銘柄名,市場,業種,取扱
A,"AGILENT TECHNOLOGIES, INC.",アジレント・テクノロジー,NYSE,その他製造,○
AA,ALCOA INC.,アルコア,NYSE,鉄鋼・鉱業,○
AAL,AMERICAN AIRLINES GROUP INC.,アメリカン・エアーラインズ・グループ,NASDAQ,運輸,○
AAP,ADVANCE AUTO PARTS INC,アドバンス・オート・パーツ,NYSE,自動車・自動車関連,○
AAPL,APPLE INC.,アップル,NASDAQ,コンピュータ関連,○
ABB,ABB LTD-ADR,ＡＢＢ,NYSE,電機・電力・エネルギー,○
ABBV,ABBVIE INC,アッヴィ,NYSE,医薬品,○
ABC,AMERISOURCEBERGEN CORPORATION,アメリソース・バーゲン,NYSE,医療・医療サービス,○
ABEV,AMBEV SA ADR,アンベブ,NYSE,食品・飲料,○
ABT,ABBOTT LABORATORIES,アボットラボラトリーズ,NYSE,医薬品,○
ABX,BARRICK GOLD CORPORATION,バリック・ゴールド,NYSE,鉄鋼・鉱業,○
ACCO,ACCO BRANDS CORP,エッコー・ブランズ,NYSE,小売,○
ACGL,ARCH CAPITAL GROUP LTD.,アーチ・キャピタル・グループ,NASDAQ,金融（保険）,○
ACIW,ACI WORLDWIDE INC,ＡＣＩワールドワイド,NASDAQ,ソフトウェア・ソフトウェアサービス,○
ACN,ACCENTURE PLC-A,アクセンチュア,NYSE,ソフトウェア・ソフトウェアサービス,○
ACTG,ACACIA RESEARCH CORP,アカシア・リサーチ,NASDAQ,サービス,○
ACWI,iShares MSCI ACWI ETF,iシェアーズ MSCI ACWI ETF,NASDAQ,その他,○
ACXM,ACXIOM CORP,アクシオム,NASDAQ,インターネットサービス,○
ADBE,ADOBE SYSTEMS INCORPORATED,アドビ　システムズ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
ADI,"ANALOG DEVICES, INC.",アナログ・デバイセズ,NASDAQ,半導体関連,○
ADM,ARCHER-DANIELS-MIDLAND COMPANY,アーチャー・ダニエルズ・ミッドランド,NYSE,食品・飲料,○
ADNT,Adient Ltd,アディエント,NYSE,その他製造,○
ADP,"AUTOMATIC DATA PROCESSING, INC.",オートマチック・データ・プロセッシング (ADP),NASDAQ,情報処理サービス,○
ADS,ALLIANCE DATA SYSTEMS CORP,アライアンス・データ・システムズ,NYSE,情報処理サービス,○
ADSK,AUTODESK INC,オートデスク,NASDAQ,ソフトウェア・ソフトウェアサービス,○
AEE,AMEREN CORPORATION,アメレン,NYSE,電機・電力・エネルギー,○
AEG,AEGON N.V.,エイゴン,NYSE,金融（保険）,○
AEIS,ADVANCED ENERGY INDUSTRIES INC,アドバンストエナジーインダストリーズ,NASDAQ,電機・電力・エネルギー,○
AEM,AGNICO-EAGLE MIN,アグニコ・イーグル・マインズ,NYSE,鉄鋼・鉱業,○
AEO,"AMERICAN EAGLE OUTFITTERS, INC",アメリカン・イーグル・アウトフィッターズ,NYSE,その他,○
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",アメリカン・エレクトリック・パワー,NYSE,電機・電力・エネルギー,○
AES,THE AES CORPORATION,ＡＥＳ,NYSE,電機・電力・エネルギー,○
AET,AETNA INC,エトナ,NYSE,金融（保険）,○
AFG,AMERICAN FINANCIAL GROUP INC,アメリカン・ファイナンシャル・グループ,NYSE,サービス,○
AFI,ARMSTRONG FLOORING INC,アームストロング・フローリング,NYSE,その他製造,○
AFK,VanEck Vectors Africa Index ETF,ヴァンエック・ベクトル・アフリカ・インデックスETF,NYSE Arca,その他,○
AFL,AFLAC INCORPORATED,アフラック,NYSE,金融（保険）,○
AFSI,AMTRUST FINANCIAL SERVICES,アムトラスト・ファイナンシャル・サービシズ,NASDAQ,金融（保険）,○
AGG,ISHARES CORE US AGGREGATE BOND ETF,iシェアーズ コア米国総合債券ETF,NYSE Arca,その他,○
AGGY,WISDOMTREE BARCLAYS YIELD ENHANCED U.S. AGGREGATE BOND FUND,ウィズダムツリー 米国債券ファンド（利回り強化型）,NYSE,その他,○
AGN,ALLERGAN PLC,アラガン,NYSE,医薬品,○
AGR,AVANGRID　INC,アヴァングリッド,NYSE,電機・電力・エネルギー,○
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",ＡＩＧ,NYSE,金融（保険）,○
AJG,ARTHUR J GALLAGHER & CO,アーサーＪ．ギャラガー,NYSE,金融（保険）,○
AKAM,"AKAMAI TECHNOLOGIES, INC.",アカマイ・テクノロジーズ,NASDAQ,ネットワーク・ネットワークセキュリティ,○
AKRX,AKORN INC,エイコーン,NASDAQ,医薬品,○
AKS,AK STEEL HOLDING CORPORATION,ＡＫスチール・ホールディング,NYSE,鉄鋼・鉱業,○
AL,AIR LEASE CORP,エア・リース・コーポレーション,NYSE,航空機・宇宙,○
ALB,ALBEMARLE,アルべマール,NYSE,化学,○
ALGN,ALIGN TECHNOLOGY INC,アライン・テクノロジー,NASDAQ,医療・医療サービス,○
ALK,ALASKA AIR GROUP INC,アラスカ・エア・グループ,NYSE,航空,○
ALKS,ALKERMES INC,アルカームス,NASDAQ,医薬品,○
ALL,ALLSTATE CORP,オールステート,NYSE,金融（証券）,○
ALLY,ALLY FINANCIAL INC.,アライ・ファイナンシャル,NYSE,金融（銀行）,○
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",アルナイラム・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
