現地コード,銘柄名(English),銘柄名,市場,業種,取扱
A,"AGILENT TECHNOLOGIES, INC.",アジレント・テクノロジー,NYSE,その他製造,○
AA,ALCOA INC.,アルコア,NYSE,鉄鋼・鉱業,○
AABA,ALTABA INC ORD,ALTABA INC ORD,NASDAQ,クローズドエンド型投資信託,-
AAC,AAC HOLDING INC,AAC HOLDING INC,NYSE,ヘルスケア施設 & サービス,-
AADR,ADVISORSHRS DRSY,ADVISORSHRS DRSY,NYSE Arca,--,-
AAL,AMERICAN AIRLINES GROUP INC.,アメリカン・エアーラインズ・グループ,NASDAQ,運輸,○
AAME,ATLANTIC AMER,ATLANTIC AMER,NASDAQ,保険 - 生命 & 健康,-
AAN,AARON'S INC,AARON'S INC,NYSE,小売 - 電化製品 & コンピューター,-
AAOI,APPLIED OPTOELR,APPLIED OPTOELR,NASDAQ,通信機器 & ネットワーク,-
AAON,AAON INC,AAON INC,NASDAQ,電気部品 & 装置,-
AAP,ADVANCE AUTO PARTS INC,アドバンス・オート・パーツ,NYSE,自動車・自動車関連,○
AAPL,APPLE INC.,アップル,NASDAQ,コンピュータ関連,○
AAT,AMERICAN ASSETS,AMERICAN ASSETS,NYSE,商業 REIT,-
AAV,ADVANTAGE OIL&G,ADVANTAGE OIL&G,NYSE,石油 & ガス探査 / 生産,-
AAWW,ATLAS AIR WORLD,ATLAS AIR WORLD,NASDAQ,航空貨物 & 物流サービス,-
AAXJ,ISH MSCI ALLC XJ,ISH MSCI ALLC XJ,NASDAQ,投資信託,-
AAXN,AXON ENTERPRISE,AXON ENTERPRISE,NASDAQ,航空宇宙 & 防衛,-
ABAC,RENMIN TIANL GRP,RENMIN TIANL GRP,NASDAQ,漁業 & 農業,-
ABAX,ABAXIS INC,ABAXIS INC,NASDAQ,先端医療機器 & テクノロジー,-
ABB,ABB LTD-ADR,ＡＢＢ,NYSE,電機・電力・エネルギー,○
ABBV,ABBVIE INC,アッヴィ,NYSE,医薬品,○
ABC,AMERISOURCEBERGEN CORPORATION,アメリソース・バーゲン,NYSE,医療・医療サービス,○
ABCB,AMERIS BANCORP,AMERIS BANCORP,NASDAQ,銀行,-
ABCD,CAMBIUM LEARNING,CAMBIUM LEARNING,NASDAQ,パーソナル サービス,-
ABDC,ALCENTRA CAPITAL,ALCENTRA CAPITAL,NASDAQ,--,-
ABEA,ABEA,ABEA,NYSE,--,-
ABEO,ABEONA THERA ORD,ABEONA THERA ORD,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
ABEV,AMBEV SA ADR,アンベブ,NYSE,食品・飲料,○
ABG,ASBURY AUTO GP,ASBURY AUTO GP,NYSE,小売 - 自動車、部品 & サービス,-
ABIL,ABILITY INC,ABILITY INC,NASDAQ,IT サービス & コンサルティング,-
ABIO,ARCA BIOPHARMA,ARCA BIOPHARMA,NASDAQ,医薬品,-
ABM,ABM INDS INC,ABM INDS INC,NYSE,事業サポート サービス,-
ABMD,ABIOMED INC,ABIOMED INC,NASDAQ,先端医療機器 & テクノロジー,-
ABR,ARBOR REALTY,ARBOR REALTY,NYSE,総合 REIT,-
ABT,ABBOTT LABORATORIES,アボットラボラトリーズ,NYSE,医薬品,○
ABTX,ALLEGIANC BANSHA,ALLEGIANC BANSHA,NASDAQ,銀行,-
ABUS,ARBUTUS BIOPHRM,ARBUTUS BIOPHRM,NASDAQ,医薬品,-
ABX,BARRICK GOLD CORPORATION,バリック・ゴールド,NYSE,鉄鋼・鉱業,○
AC,ASSCATD CPTL GRP,ASSCATD CPTL GRP,NYSE,投資管理 & ファンド オペレーター,-
ACAD,ACADIA PHARMA,ACADIA PHARMA,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
ACBI,ATL CAP BANCS IN,ATL CAP BANCS IN,NASDAQ,銀行,-
ACC,AMER CMPS COMM,AMER CMPS COMM,NYSE,住宅 REIT,-
ACCO,ACCO BRANDS CORP,エッコー・ブランズ,NYSE,小売,○
ACER,ACER THRPTCS INC,ACER THRPTCS INC,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
ACET,ACETO CORP,ACETO CORP,NASDAQ,医薬品,-
ACGL,ARCH CAPITAL GROUP LTD.,アーチ・キャピタル・グループ,NASDAQ,金融（保険）,○
ACH,ALUMINUM CHINA,ALUMINUM CHINA,NYSE,アルミニウム,-
ACHC,ACADIA HEALTHCRE,ACADIA HEALTHCRE,NASDAQ,ヘルスケア施設 & サービス,-
ACHN,ACHILLION PHARM,ACHILLION PHARM,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
ACHV,ACHIV LIFE SCNCS,ACHIV LIFE SCNCS,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
ACIA,ACACIA COMMNCTNS,ACACIA COMMNCTNS,NASDAQ,通信機器 & ネットワーク,-
ACIM,SPDR MS ACWI IMI,SPDR MS ACWI IMI,NYSE Arca,--,-
ACIU,AC IMMUNE SA,AC IMMUNE SA,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
ACIW,ACI WORLDWIDE INC,ＡＣＩワールドワイド,NASDAQ,ソフトウェア・ソフトウェアサービス,○
ACLS,AXCELIS TECH ORD,AXCELIS TECH ORD,NASDAQ,半導体製造装置 & 試験装置,-
ACM,AECOM,AECOM,NYSE,土木 & 建設業,-
